"Notes"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	Count
	"2006"	"2006"	"25-29 years"	"25-29"	11747
	"2006"	"2006"	"30-34 years"	"30-34"	17612
	"2006"	"2006"	"35-39 years"	"35-39"	29851
	"2006"	"2006"	"40-44 years"	"40-44"	54912
	"2006"	"2006"	"45-49 years"	"45-49"	90346
	"2006"	"2006"	"50-54 years"	"50-54"	127372
	"2006"	"2006"	"55-59 years"	"55-59"	169955
	"2006"	"2006"	"60-64 years "	"60-64"	183425
	"2006"	"2006"	"65-69 years"	"65-69"	197900
	"2006"	"2006"	"70-74 years"	"70-74"	192901
	"2006"	"2006"	"75-79 years"	"75-79"	185937
	"2006"	"2006"	"80-84 years"	"80-84"	144421
	"2006"	"2006"	"85+ years"	"85+"	115457
"Total"	"2006"	"2006"			1543719
	"2007"	"2007"	"< 1 year"	"1"	1093
	"2007"	"2007"	"1-4 years"	"1-4"	3614
	"2007"	"2007"	"5-9 years"	"5-9"	2447
	"2007"	"2007"	"10-14 years"	"10-14"	2769
	"2007"	"2007"	"15-19 years"	"15-19"	4884
	"2007"	"2007"	"20-24 years"	"20-24"	7679
	"2007"	"2007"	"25-29 years"	"25-29"	12340
	"2007"	"2007"	"30-34 years"	"30-34"	17615
	"2007"	"2007"	"35-39 years"	"35-39"	30195
	"2007"	"2007"	"40-44 years"	"40-44"	54166
	"2007"	"2007"	"45-49 years"	"45-49"	92171
	"2007"	"2007"	"50-54 years"	"50-54"	133590
	"2007"	"2007"	"55-59 years"	"55-59"	172925
	"2007"	"2007"	"60-64 years "	"60-64"	200205
	"2007"	"2007"	"65-69 years"	"65-69"	209347
	"2007"	"2007"	"70-74 years"	"70-74"	196083
	"2007"	"2007"	"75-79 years"	"75-79"	186017
	"2007"	"2007"	"80-84 years"	"80-84"	146301
	"2007"	"2007"	"85+ years"	"85+"	119393
"Total"	"2007"	"2007"			1592834
	"2008"	"2008"	"< 1 year"	"1"	1115
	"2008"	"2008"	"1-4 years"	"1-4"	3672
	"2008"	"2008"	"5-9 years"	"5-9"	2569
	"2008"	"2008"	"10-14 years"	"10-14"	2777
	"2008"	"2008"	"15-19 years"	"15-19"	4924
	"2008"	"2008"	"20-24 years"	"20-24"	7745
	"2008"	"2008"	"25-29 years"	"25-29"	12468
	"2008"	"2008"	"30-34 years"	"30-34"	18341
	"2008"	"2008"	"35-39 years"	"35-39"	30893
	"2008"	"2008"	"40-44 years"	"40-44"	53338
	"2008"	"2008"	"45-49 years"	"45-49"	93524
	"2008"	"2008"	"50-54 years"	"50-54"	137577
	"2008"	"2008"	"55-59 years"	"55-59"	174484
	"2008"	"2008"	"60-64 years "	"60-64"	205723
	"2008"	"2008"	"65-69 years"	"65-69"	216823
	"2008"	"2008"	"70-74 years"	"70-74"	196947
	"2008"	"2008"	"75-79 years"	"75-79"	181882
	"2008"	"2008"	"80-84 years"	"80-84"	146321
	"2008"	"2008"	"85+ years"	"85+"	124651
"Total"	"2008"	"2008"			1615774
	"2009"	"2009"	"< 1 year"	"1"	1067
	"2009"	"2009"	"1-4 years"	"1-4"	3621
	"2009"	"2009"	"5-9 years"	"5-9"	2539
	"2009"	"2009"	"10-14 years"	"10-14"	2830
	"2009"	"2009"	"15-19 years"	"15-19"	4945
	"2009"	"2009"	"20-24 years"	"20-24"	7896
	"2009"	"2009"	"25-29 years"	"25-29"	12929
	"2009"	"2009"	"30-34 years"	"30-34"	18907
	"2009"	"2009"	"35-39 years"	"35-39"	30521
	"2009"	"2009"	"40-44 years"	"40-44"	53028
	"2009"	"2009"	"45-49 years"	"45-49"	94219
	"2009"	"2009"	"50-54 years"	"50-54"	141410
	"2009"	"2009"	"55-59 years"	"55-59"	177359
	"2009"	"2009"	"60-64 years "	"60-64"	213879
	"2009"	"2009"	"65-69 years"	"65-69"	224192
	"2009"	"2009"	"70-74 years"	"70-74"	199852
	"2009"	"2009"	"75-79 years"	"75-79"	177728
	"2009"	"2009"	"80-84 years"	"80-84"	143613
	"2009"	"2009"	"85+ years"	"85+"	125749
"Total"	"2009"	"2009"			1636284
	"2010"	"2010"	"< 1 year"	"1"	1047
	"2010"	"2010"	"1-4 years"	"1-4"	3814
	"2010"	"2010"	"5-9 years"	"5-9"	2705
	"2010"	"2010"	"10-14 years"	"10-14"	2941
	"2010"	"2010"	"15-19 years"	"15-19"	4776
	"2010"	"2010"	"20-24 years"	"20-24"	7899
	"2010"	"2010"	"25-29 years"	"25-29"	12828
	"2010"	"2010"	"30-34 years"	"30-34"	18924
	"2010"	"2010"	"35-39 years"	"35-39"	29386
	"2010"	"2010"	"40-44 years"	"40-44"	51358
	"2010"	"2010"	"45-49 years"	"45-49"	90024
	"2010"	"2010"	"50-54 years"	"50-54"	139327
	"2010"	"2010"	"55-59 years"	"55-59"	178022
	"2010"	"2010"	"60-64 years "	"60-64"	217085
	"2010"	"2010"	"65-69 years"	"65-69"	225750
	"2010"	"2010"	"70-74 years"	"70-74"	200034
	"2010"	"2010"	"75-79 years"	"75-79"	174631
	"2010"	"2010"	"80-84 years"	"80-84"	141445
	"2010"	"2010"	"85+ years"	"85+"	126916
"Total"	"2010"	"2010"			1628912
	"2011"	"2011"	"< 1 year"	"1"	1017
	"2011"	"2011"	"1-4 years"	"1-4"	3797
	"2011"	"2011"	"5-9 years"	"5-9"	2729
	"2011"	"2011"	"10-14 years"	"10-14"	2933
	"2011"	"2011"	"15-19 years"	"15-19"	4890
	"2011"	"2011"	"20-24 years"	"20-24"	8062
	"2011"	"2011"	"25-29 years"	"25-29"	12861
	"2011"	"2011"	"30-34 years"	"30-34"	19341
	"2011"	"2011"	"35-39 years"	"35-39"	28740
	"2011"	"2011"	"40-44 years"	"40-44"	51962
	"2011"	"2011"	"45-49 years"	"45-49"	88597
	"2011"	"2011"	"50-54 years"	"50-54"	141121
	"2011"	"2011"	"55-59 years"	"55-59"	183355
	"2011"	"2011"	"60-64 years "	"60-64"	227555
	"2011"	"2011"	"65-69 years"	"65-69"	234658
	"2011"	"2011"	"70-74 years"	"70-74"	205716
	"2011"	"2011"	"75-79 years"	"75-79"	176151
	"2011"	"2011"	"80-84 years"	"80-84"	142329
	"2011"	"2011"	"85+ years"	"85+"	129703
"Total"	"2011"	"2011"			1665517
	"2012"	"2012"	"< 1 year"	"1"	1062
	"2012"	"2012"	"1-4 years"	"1-4"	3798
	"2012"	"2012"	"5-9 years"	"5-9"	2582
	"2012"	"2012"	"10-14 years"	"10-14"	2979
	"2012"	"2012"	"15-19 years"	"15-19"	4973
	"2012"	"2012"	"20-24 years"	"20-24"	8224
	"2012"	"2012"	"25-29 years"	"25-29"	13254
	"2012"	"2012"	"30-34 years"	"30-34"	20325
	"2012"	"2012"	"35-39 years"	"35-39"	28765
	"2012"	"2012"	"40-44 years"	"40-44"	52049
	"2012"	"2012"	"45-49 years"	"45-49"	86137
	"2012"	"2012"	"50-54 years"	"50-54"	138773
	"2012"	"2012"	"55-59 years"	"55-59"	183480
	"2012"	"2012"	"60-64 years "	"60-64"	220479
	"2012"	"2012"	"65-69 years"	"65-69"	241852
	"2012"	"2012"	"70-74 years"	"70-74"	206781
	"2012"	"2012"	"75-79 years"	"75-79"	173098
	"2012"	"2012"	"80-84 years"	"80-84"	137858
	"2012"	"2012"	"85+ years"	"85+"	130096
"Total"	"2012"	"2012"			1656565
	"2013"	"2013"	"< 1 year"	"1"	1134
	"2013"	"2013"	"1-4 years"	"1-4"	3665
	"2013"	"2013"	"5-9 years"	"5-9"	2714
	"2013"	"2013"	"10-14 years"	"10-14"	3046
	"2013"	"2013"	"15-19 years"	"15-19"	4715
	"2013"	"2013"	"20-24 years"	"20-24"	8290
	"2013"	"2013"	"25-29 years"	"25-29"	13099
	"2013"	"2013"	"30-34 years"	"30-34"	20596
	"2013"	"2013"	"35-39 years"	"35-39"	29273
	"2013"	"2013"	"40-44 years"	"40-44"	52055
	"2013"	"2013"	"45-49 years"	"45-49"	83714
	"2013"	"2013"	"50-54 years"	"50-54"	139249
	"2013"	"2013"	"55-59 years"	"55-59"	187437
	"2013"	"2013"	"60-64 years "	"60-64"	222101
	"2013"	"2013"	"65-69 years"	"65-69"	250916
	"2013"	"2013"	"70-74 years"	"70-74"	218208
	"2013"	"2013"	"75-79 years"	"75-79"	177268
	"2013"	"2013"	"80-84 years"	"80-84"	137875
	"2013"	"2013"	"85+ years"	"85+"	132285
"Total"	"2013"	"2013"			1687640
	"2014"	"2014"	"< 1 year"	"1"	1132
	"2014"	"2014"	"1-4 years"	"1-4"	3647
	"2014"	"2014"	"5-9 years"	"5-9"	2829
	"2014"	"2014"	"10-14 years"	"10-14"	3180
	"2014"	"2014"	"15-19 years"	"15-19"	4948
	"2014"	"2014"	"20-24 years"	"20-24"	8652
	"2014"	"2014"	"25-29 years"	"25-29"	13729
	"2014"	"2014"	"30-34 years"	"30-34"	21273
	"2014"	"2014"	"35-39 years"	"35-39"	30110
	"2014"	"2014"	"40-44 years"	"40-44"	51683
	"2014"	"2014"	"45-49 years"	"45-49"	82205
	"2014"	"2014"	"50-54 years"	"50-54"	139416
	"2014"	"2014"	"55-59 years"	"55-59"	191803
	"2014"	"2014"	"60-64 years "	"60-64"	228294
	"2014"	"2014"	"65-69 years"	"65-69"	257397
	"2014"	"2014"	"70-74 years"	"70-74"	223962
	"2014"	"2014"	"75-79 years"	"75-79"	179456
	"2014"	"2014"	"80-84 years"	"80-84"	135097
	"2014"	"2014"	"85+ years"	"85+"	133796
"Total"	"2014"	"2014"			1712609
	"2015"	"2015"	"< 1 year"	"1"	1180
	"2015"	"2015"	"1-4 years"	"1-4"	3767
	"2015"	"2015"	"5-9 years"	"5-9"	2821
	"2015"	"2015"	"10-14 years"	"10-14"	3170
	"2015"	"2015"	"15-19 years"	"15-19"	5243
	"2015"	"2015"	"20-24 years"	"20-24"	8338
	"2015"	"2015"	"25-29 years"	"25-29"	14035
	"2015"	"2015"	"30-34 years"	"30-34"	22109
	"2015"	"2015"	"35-39 years"	"35-39"	31157
	"2015"	"2015"	"40-44 years"	"40-44"	51324
	"2015"	"2015"	"45-49 years"	"45-49"	82015
	"2015"	"2015"	"50-54 years"	"50-54"	137864
	"2015"	"2015"	"55-59 years"	"55-59"	193743
	"2015"	"2015"	"60-64 years "	"60-64"	236768
	"2015"	"2015"	"65-69 years"	"65-69"	271549
	"2015"	"2015"	"70-74 years"	"70-74"	233493
	"2015"	"2015"	"75-79 years"	"75-79"	184430
	"2015"	"2015"	"80-84 years"	"80-84"	135834
	"2015"	"2015"	"85+ years"	"85+"	135113
"Total"	"2015"	"2015"			1753953
	"2016"	"2016"	"< 1 year"	"1"	1114
	"2016"	"2016"	"1-4 years"	"1-4"	3634
	"2016"	"2016"	"5-9 years"	"5-9"	2790
	"2016"	"2016"	"10-14 years"	"10-14"	3305
	"2016"	"2016"	"15-19 years"	"15-19"	5193
	"2016"	"2016"	"20-24 years"	"20-24"	8313
	"2016"	"2016"	"25-29 years"	"25-29"	14312
	"2016"	"2016"	"30-34 years"	"30-34"	22375
	"2016"	"2016"	"35-39 years"	"35-39"	32143
	"2016"	"2016"	"40-44 years"	"40-44"	49917
	"2016"	"2016"	"45-49 years"	"45-49"	80937
	"2016"	"2016"	"50-54 years"	"50-54"	133129
	"2016"	"2016"	"55-59 years"	"55-59"	195070
	"2016"	"2016"	"60-64 years "	"60-64"	240739
	"2016"	"2016"	"65-69 years"	"65-69"	282467
	"2016"	"2016"	"70-74 years"	"70-74"	238645
	"2016"	"2016"	"75-79 years"	"75-79"	188252
	"2016"	"2016"	"80-84 years"	"80-84"	136874
	"2016"	"2016"	"85+ years"	"85+"	135148
"Total"	"2016"	"2016"			1774357
	"2017"	"2017"	"< 1 year"	"1"	1032
	"2017"	"2017"	"1-4 years"	"1-4"	3617
	"2017"	"2017"	"5-9 years"	"5-9"	2647
	"2017"	"2017"	"10-14 years"	"10-14"	3223
	"2017"	"2017"	"15-19 years"	"15-19"	4965
	"2017"	"2017"	"20-24 years"	"20-24"	8156
	"2017"	"2017"	"25-29 years"	"25-29"	14067
	"2017"	"2017"	"30-34 years"	"30-34"	21610
	"2017"	"2017"	"35-39 years"	"35-39"	32029
	"2017"	"2017"	"40-44 years"	"40-44"	48677
	"2017"	"2017"	"45-49 years"	"45-49"	80935
	"2017"	"2017"	"50-54 years"	"50-54"	128595
	"2017"	"2017"	"55-59 years"	"55-59"	193637
	"2017"	"2017"	"60-64 years "	"60-64"	245659
	"2017"	"2017"	"65-69 years"	"65-69"	283615
	"2017"	"2017"	"70-74 years"	"70-74"	256679
	"2017"	"2017"	"75-79 years"	"75-79"	195510
	"2017"	"2017"	"80-84 years"	"80-84"	137523
	"2017"	"2017"	"85+ years"	"85+"	133092
"Total"	"2017"	"2017"			1795268
	"2018"	"2018"	"< 1 year"	"1"	980
	"2018"	"2018"	"1-4 years"	"1-4"	3387
	"2018"	"2018"	"5-9 years"	"5-9"	2576
	"2018"	"2018"	"10-14 years"	"10-14"	3251
	"2018"	"2018"	"15-19 years"	"15-19"	4988
	"2018"	"2018"	"20-24 years"	"20-24"	8020
	"2018"	"2018"	"25-29 years"	"25-29"	13684
	"2018"	"2018"	"30-34 years"	"30-34"	21458
	"2018"	"2018"	"35-39 years"	"35-39"	31822
	"2018"	"2018"	"40-44 years"	"40-44"	48712
	"2018"	"2018"	"45-49 years"	"45-49"	78098
	"2018"	"2018"	"50-54 years"	"50-54"	121611
	"2018"	"2018"	"55-59 years"	"55-59"	186511
	"2018"	"2018"	"60-64 years "	"60-64"	243488
	"2018"	"2018"	"65-69 years"	"65-69"	278056
	"2018"	"2018"	"70-74 years"	"70-74"	257762
	"2018"	"2018"	"75-79 years"	"75-79"	199059
	"2018"	"2018"	"80-84 years"	"80-84"	135147
	"2018"	"2018"	"85+ years"	"85+"	126922
"Total"	"2018"	"2018"			1765532
"Total"					31818734
"---"
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2018 Incidence"
"Query Parameters:"
"Group By: Year; Age Groups"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Standard Population: 2000 U.S. Std. Million"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cancer-v2018.html for more information."
"---"
"Query Date: Jun 2, 2022 6:38:04 AM"
"---"
"Suggested Citation: United States Cancer Statistics - Incidence: 1999 - 2018, WONDER Online Database. United States Department"
"of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute; 2021. Accessed at"
"http://wonder.cdc.gov/cancer-v2018.html on Jun 2, 2022 6:38:04 AM"
"---"
Caveats:
"1. Age-adjusted rates are not available when results are grouped by age."
"2. Data are from selected statewide and metropolitan area cancer registries that meet data quality criteria. Incidence data"
"shown for the United States are diagnoses and populations from included registries only."
"3. Information on primary site, behavior, and histology was coded according to the International Classification of Diseases for"
"Oncology, Third Edition (ICD-O-3) and categorized according to the revised SEER recodes dated March 1, 2018, which define"
"standard groupings of primary cancer sites."
"4. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and"
"Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for"
"these states, nor are these counts included in the summary populations for the affected division, regions or national"
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005."
